total_population,pop_density,maxdist_road,meandist_road,id
0,0,50000,50000,10539
0,0,49999,49551,10541
0,0,22087,21244,10549
11,6,16512,15673,10554
36,22,4094,3435,10559
0,0,2282,1619,10591
2,1,43056,42260,10595
0,0,28611,27767,10597
65,40,1594,877,10611
14,8,846,320,10622
0,0,6594,5763,10626
0,0,3862,3175,10634
0,0,27758,26904,10637
0,0,26297,25582,10639
1,0,4388,3511,10640
42,26,4764,3949,10646
312,191,2253,1584,10652
0,0,10196,9414,10680
0,0,50000,50000,10683
0,0,16292,15437,10684
0,0,9774,8914,10698
0,0,7055,6196,10699
13,8,2556,1848,10707
107,66,2533,1690,10719
1,1,4263,3381,10722
0,0,1052,332,10749
0,0,50000,50000,10753
0,0,844,309,10760
69,42,1981,1227,10773
0,0,50000,50000,10789
354,217,2681,2023,10796
0,0,8929,8120,10804
1,0,4957,4102,10824
0,0,50000,50000,10862
0,0,10329,9461,10865
80,49,838,339,10875
0,0,7297,6653,10883
0,0,13923,13109,10894
152,93,7540,7023,10895
0,0,50000,50000,10900
4,2,11179,10299,10929
0,0,33731,32881,10939
0,0,13755,13074,10978
1,1,2523,1647,10979
3,2,4989,4120,10990
0,0,1560,921,10991
